Province.State,Initial,Year,Month
Virgin Islands,180,2019,8
Virginia,9527,2019,8
Washington,21705,2019,8
West Virginia,3507,2019,8
Wisconsin,15598,2019,8
Wyoming,876,2019,8
United_States,760767,2019,8
Alabama,8941,2019,10
Alaska,4752,2019,10
Arizona,17202,2019,10
Arkansas,7875,2019,10
California,175585,2019,10
Colorado,9728,2019,10
Connecticut,11004,2019,10
Delaware,2452,2019,10
District of Columbia,2055,2019,10
Florida,25611,2019,10
Georgia,24013,2019,10
Hawaii,5281,2019,10
Idaho,4023,2019,10
Illinois,38183,2019,10
Indiana,11076,2019,10
Iowa,11805,2019,10
Kansas,5592,2019,10
Kentucky,10017,2019,10
Louisiana,7848,2019,10
Maine,2372,2019,10
Maryland,11953,2019,10
Massachusetts,19580,2019,10
Michigan,29248,2019,10
Minnesota,14179,2019,10
Mississippi,4681,2019,10
Missouri,12721,2019,10
Montana,4820,2019,10
Nebraska,3281,2019,10
Nevada,9735,2019,10
New Hampshire,1699,2019,10
New Jersey,35972,2019,10
New Mexico,4042,2019,10
New York,57275,2019,10
North Carolina,14846,2019,10
North Dakota,1782,2019,10
Ohio,27333,2019,10
Oklahoma,8141,2019,10
Oregon,16445,2019,10
Pennsylvania,51520,2019,10
Puerto Rico,5390,2019,10
Rhode Island,3352,2019,10
South Carolina,9592,2019,10
South Dakota,832,2019,10
Tennessee,11232,2019,10
Texas,61331,2019,10
Utah,4587,2019,10
Vermont,1870,2019,10
Virgin Islands,179,2019,10
Virginia,12092,2019,10
Washington,28203,2019,10
West Virginia,5899,2019,10
Wisconsin,17573,2019,10
Wyoming,1605,2019,10
Alabama,13279,2019,7
Alaska,2870,2019,7
Arizona,20792,2019,7
Arkansas,8414,2019,7
California,174565,2019,7
Colorado,7049,2019,7
Connecticut,13442,2019,7
Delaware,2502,2019,7
District of Columbia,2352,2019,7
Florida,30162,2019,7
Georgia,27843,2019,7
Hawaii,5669,2019,7
Idaho,3359,2019,7
Illinois,40176,2019,7
Indiana,11757,2019,7
Iowa,11687,2019,7
Kansas,7399,2019,7
Kentucky,16487,2019,7
Louisiana,9005,2019,7
Maine,2421,2019,7
Maryland,12582,2019,7
Massachusetts,19685,2019,7
Michigan,42407,2019,7
Minnesota,13182,2019,7
Mississippi,5729,2019,7
Missouri,16319,2019,7
Montana,2411,2019,7
Nebraska,2697,2019,7
Nevada,9872,2019,7
New Hampshire,1883,2019,7
New Jersey,45231,2019,7
New Mexico,3227,2019,7
New York,71730,2019,7
North Carolina,13760,2019,7
North Dakota,1454,2019,7
Ohio,24718,2019,7
Oklahoma,8032,2019,7
Oregon,18554,2019,7
Pennsylvania,55463,2019,7
Puerto Rico,6739,2019,7
Rhode Island,4046,2019,7
South Carolina,11271,2019,7
South Dakota,754,2019,7
Tennessee,11759,2019,7
Texas,59808,2019,7
Utah,3817,2019,7
Vermont,1674,2019,7
Virgin Islands,153,2019,7
Virginia,11885,2019,7
Washington,23770,2019,7
West Virginia,4130,2019,7
Wisconsin,18955,2019,7
Wyoming,1253,2019,7
